Beat_Index,Time_s,Original_RR_ms,Cleaned_RR_ms,Instant_HR_BPM
298,228.372,606,606,99.009900990099
299,228.966,594,594,101.010101010101
300,229.552,586,586,102.389078498294
301,230.128,576,576,104.166666666667
302,230.696,568,568,105.633802816901
303,231.262,566,566,106.007067137809
304,231.822,560,560,107.142857142857
305,232.376,554,554,108.303249097473
306,232.928,552,552,108.695652173913
307,233.478,550,550,109.090909090909
308,234.032,554,554,108.303249097473
309,234.592,560,560,107.142857142857
310,235.162,570,570,105.263157894737
311,235.758,596,596,100.671140939597
312,236.366,608,608,98.6842105263158
313,236.99,624,624,96.1538461538462
314,237.634,644,644,93.167701863354
315,238.29,656,656,91.4634146341463
316,238.952,662,662,90.6344410876133
317,239.624,672,672,89.2857142857143
318,240.304,680,680,88.2352941176471
319,240.978,674,674,89.0207715133531
320,241.648,670,670,89.5522388059701
321,242.314,666,666,90.0900900900901
322,242.966,652,652,92.0245398773006
323,243.616,650,650,92.3076923076923
324,244.264,648,648,92.5925925925926
325,244.894,630,630,95.2380952380952
326,245.518,624,624,96.1538461538462
327,246.164,646,646,92.8792569659443
328,246.882,718,718,83.5654596100279
329,247.672,790,790,75.9493670886076
330,248.448,776,776,77.319587628866
331,249.242,794,794,75.5667506297229
332,250.234,992,992,60.4838709677419
333,251.304,1070,1070,56.0747663551402
334,252.312,1008,1008,59.5238095238095
335,253.268,956,956,62.7615062761506
336,254.176,908,908,66.079295154185
337,255.146,970,970,61.8556701030928
338,256.192,1046,1046,57.3613766730402
339,257.226,1034,1034,58.0270793036751
340,258.224,998,998,60.1202404809619
341,259.176,952,952,63.0252100840336
342,260.034,858,858,69.9300699300699
343,260.868,834,834,71.9424460431655
344,261.738,870,870,68.9655172413793
345,262.682,944,944,63.5593220338983
346,263.61,928,928,64.6551724137931
347,264.52,910,910,65.9340659340659
348,265.366,846,846,70.9219858156028
349,266.15,784,784,76.530612244898
350,266.926,776,776,77.319587628866
351,267.724,798,798,75.187969924812
352,268.566,842,842,71.2589073634204
353,269.412,846,846,70.9219858156028
354,270.198,786,786,76.3358778625954
355,270.934,736,736,81.5217391304348
356,271.658,724,724,82.8729281767956
357,272.39,732,732,81.9672131147541
358,273.194,804,804,74.6268656716418
359,274.016,822,822,72.992700729927
360,274.778,762,762,78.740157480315
361,275.51,732,732,81.9672131147541
362,276.232,722,722,83.1024930747922
363,276.956,724,724,82.8729281767956
364,277.716,760,760,78.9473684210526
365,278.534,818,818,73.3496332518337
366,279.342,808,808,74.2574257425743
367,280.126,784,784,76.530612244898
368,280.848,722,722,83.1024930747922
369,281.528,680,680,88.2352941176471
370,282.19,662,662,90.6344410876133
371,282.838,648,648,92.5925925925926
372,283.496,658,658,91.1854103343465
373,284.206,710,710,84.5070422535211
374,284.924,718,718,83.5654596100279
375,285.624,700,700,85.7142857142857
376,286.312,688,688,87.2093023255814
377,286.986,674,674,89.0207715133531
378,287.644,658,658,91.1854103343465
379,288.286,642,642,93.4579439252336
380,288.912,626,626,95.8466453674121
381,289.518,606,606,99.009900990099
382,290.112,594,594,101.010101010101
383,290.694,582,582,103.092783505155
384,291.27,576,576,104.166666666667
385,291.84,570,570,105.263157894737
386,292.406,566,566,106.007067137809
387,292.968,562,562,106.761565836299
388,293.532,564,564,106.382978723404
389,294.1,568,568,105.633802816901
390,294.676,576,576,104.166666666667
391,295.266,590,590,101.694915254237
392,295.878,612,612,98.0392156862745
393,296.514,636,636,94.3396226415094
394,297.174,660,660,90.9090909090909
395,297.856,682,682,87.9765395894428
396,298.552,696,696,86.2068965517241
397,299.26,708,708,84.7457627118644
398,299.98,720,720,83.3333333333333
399,300.706,726,726,82.6446280991736
400,301.45,744,744,80.6451612903226
401,302.194,744,744,80.6451612903226
402,302.936,742,742,80.8625336927224
403,303.678,742,742,80.8625336927224
404,304.414,736,736,81.5217391304348
405,305.106,692,692,86.7052023121387
406,305.774,668,668,89.8203592814371
407,306.448,674,674,89.0207715133531
408,307.154,706,706,84.985835694051
409,307.85,696,696,86.2068965517241
410,308.532,682,682,87.9765395894428
411,309.262,730,730,82.1917808219178
412,310.078,816,816,73.5294117647059
413,311.036,958,958,62.6304801670146
414,312.02,984,984,60.9756097560976
415,312.95,930,930,64.5161290322581
416,313.818,868,868,69.1244239631336
417,314.722,904,904,66.3716814159292
418,315.72,998,998,60.1202404809619
419,316.75,1030,1030,58.252427184466
420,317.722,972,972,61.7283950617284
421,318.596,874,874,68.649885583524
422,319.402,806,806,74.4416873449131
423,320.212,810,810,74.0740740740741
424,321.068,856,856,70.0934579439252
425,321.958,890,890,67.4157303370787
426,322.838,880,880,68.1818181818182
427,323.672,834,834,71.9424460431655
428,324.442,770,770,77.9220779220779
429,325.188,746,746,80.4289544235925
430,325.936,748,748,80.2139037433155
431,326.73,794,794,75.5667506297229
